name,ranked,score,popularity,favorite,published,description,serialization,reading,completed,dropped,plan_to_read,genre
Berserk,1,9.47,1,122974,1989,gut former mercenari known black swordsman reveng tumultu childhood final find someon respect believ trust everyth fall apart person take away everyth import gut purpos fulfil desir mark death gut becom condemn fate relentlessli pursu demon be set dread quest riddl misfortun gut arm massiv sword monstrou strength let noth stop even death final abl take head one strip love one human,221,364280,87307,10263,154118,3.0
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,2,9.3,26,42935,2004,american old west world greatest race begin thousand line san diego travel six thousand kilomet chanc win grand prize fifti million dollar era hors reach end contest allow use kind vehicl wish competitor endur gruel condit travel hundr kilomet day unchart wasteland steel ball run truli one kind event youth johnni joestar crippl former hors racer come san diego watch start race encount gyro zepp racer two steel ball waist instead gun johnni wit gyro use one steel ball unleash fantast power compel man fire gun duel midst action johnni happen touch steel ball feel power surg leg allow stand first time two year vow find secret steel ball johnni decid compet race begin bizarr adventur across america steel ball run,210,34922,162358,2141,50652,8.0
Vagabond,3,9.24,15,40221,1998,16th centuri japan shinmen takez wild rough young man appear action aggress natur collect reproach fear villag lead best friend matahachi honiden run away search someth grander provinci life pair enlist toyotomi armi yearn glori toyotomi suffer crush defeat hand tokugawa clan battl sekigahara friend bare make aliv two separ shinmen return home self appoint mission notifi hon iden famili matahachi surviv instead find want crimin frame friend suppos murder base histori violenc upon captur strung tree left die itiner monk distinguish takuan soho take piti devil child secretli free shinmen christen new name avoid pursuit author musashi miyamoto vagabond fictiti retel life one japan renown swordsman sword saint musashi miyamoto rise swordsman desir becom invinc heaven enlighten warrior slowli learn import close friend self reflect life,161,108564,81383,5054,145679,3.0
One Piece,4,9.22,3,114647,1997,gol roger man refer king pirat set execut world govern demis confirm exist great treasur one piec locat somewher within vast ocean known grand line announc one piec claim anyon worthi enough reach king pirat execut great age pirat begin twenti two year later young man name monkey luffi readi embark adventur search one piec strive becom new king pirat arm straw hat small boat elast bodi set fantast journey gather crew worthi ship take across grand line claim greatest statu high sea,189,465243,30242,18817,46908,10.0
Monster,5,9.15,29,20528,1994,kenzou tenma renown japanes neurosurgeon work post war germani face difficult choic oper johan liebert orphan boy verg death mayor sseldorf end tenma decid gambl reput save johan effect leav mayor dead consequ action hospit director heinemann strip tenma posit heinemann daughter eva break engag disgrac shun colleagu tenma lose hope success career mysteri kill heinemann give anoth chanc nine year later tenma head surgic depart close becom director although seem well first soon becom entangl chain gruesom murder taken place throughout germani culprit monster one tenma save fate day nine year ago,19,33413,94357,2754,97297,3.0
Slam Dunk,6,9.09,55,15527,1990,hanamichi sakuragi tall boister teenag flame red hair physic strength beyond year eager put end reject streak 50 final score girlfriend begin first year shohoku high howev reput delinqu destruct preced fellow student subsequ avoid like plagu first day school end left two strong thought hate basketbal need girlfriend haruko akagi ignor hanamichi histori misbehavior notic immens height unwittingli approach ask whether like basketbal overcom fact girl speak red hair giant blurt ye despit true feel gym haruko ask slam dunk though complet novic hanamachi palm ball make leap overshoot slam head backboard amaz near inhuman physic abil haruko quickli notifi school basketbal captain feat hanamichi unexpectedli thrust world competit girl bare know soon discov perhap basketbal thought,189,21227,75687,2253,58898,3.0
Vinland Saga,7,9.06,19,32303,2005,thorfinn son one vike greatest warrior among finest fighter merri band mercenari run cun askeladd impress feat person age howev thorfinn part group plunder entail instead caus famili great tragedi boy vow kill askeladd fair duel yet skill enough defeat unabl abandon vengeanc thorfinn spend boyhood mercenari crew hone skill battlefield among war love dane kill anoth pleasur life one day askeladd receiv word danish princ canut taken hostag hatch ambiti plot one decid next king england drastic alter live thorfinn canut set 11th centuri europ vinland saga tell bloodi epic era violenc mad injustic inescap provid paradis battl craze utter hell rest live,2,159240,15141,4653,92478,3.0
Fullmetal Alchemist,8,9.03,20,29927,2001,alchemist knowledg natur talent individu manipul modifi matter due art yet despit wide rang possibl alchemi power would believ human transmut strictli forbidden whoever attempt risk sever consequ even sibl edward alphons elric decid ignor great taboo bring mother back life unfortun fail resurrect also pay extrem high price arrog edward lose left leg alphons entir bodi furthermor edward also give right arm order seal brother soul suit armor year later young alchemist travel across countri look philosoph stone hope recov old bodi power howev quest fate stone also lead unravel far darker secret could ever imagin,187,48549,156719,6265,60478,3.0
Grand Blue,9,9.03,47,17124,2014,among seasid town izu ocean wave ray shine sun iori kitahara begin freshman year izu univers move uncl scuba dive shop grand blue eagerli anticip dream colleg life fill beauti girl good friend thing exactli go accord plan upon enter shop encount group rowdi nake upperclassmen immedi coerc particip alcohol activ though unwil first iori quickli give becom heart soul parti unfortun earn scorn cousin chisa kotegawa walk precis wrong time undet iori still vow realiz ideal colleg life thing go accord plan time situat take yet anoth dive,240,90150,6589,3424,62826,17.0
Oyasumi Punpun,10,9.01,9,50800,2007,punpun onodera normal 11 year old boy live japan hopelessli idealist romant punpun begin see life take subtl though nonetheless startl turn adult meet new girl class aiko tanaka quiet boy learn fickl maintain relationship surmount difficulti transit na boyhood convolut adulthood father assault mother one night punpun realiz anoth thing look impress thought problem increas punpun shi demeanor turn voluntari reclus rather cure problem conflict emot mere intensifi send dark path matur grim come age saga,20,78888,172476,8297,149155,11.0
